ranger,tui file manager
highlight,file manager
trash-cli,file manager
ueberzug,file manager
zip,file manager
p7zip,file manager
unzip,file manager
unrar,file manager
xarchiver,file manager
xdg-user-dirs,xdg folder maker
xdg-user-dirs-gtk,xdg folder maker
yt-dlp,yt downloader
thefuck,autocorrects commands
neofetch,fetch sys info
speedtest-cli,speedtestcli
firefox,broswer
opera,broswer
vlc,media player
discord,communication app
telegram-desktop,communication app
screenkey,key projector
task,task list
w3m,tui web broswer
jq,JSON parsing library
jshon,JSON parsing library
clang,language tool
cmake,language tool
git,language tool
gcc,language tool
glibc,language tool
meld,visual diff tool
python,dev tool
python-pip,dev tool
vim,dev tool
neovim,dev tool
alacritty,dev tool
tmux,dev tool
rust,rust
viewnior,image viewer
ffmpeg,codec
ffmpegthumbnailer,multimedia
ncmpcpp,multimedia
tumbler,thumnail dependency
feh,imageset
mpd,music player
alsa-plugins,audio tools
alsa-tools,audio tools
alsa-utils,audio tools
pavucontrol,audio tools
pulseaudio,audio tools
pulseaudio-alsa,audio tools
pulseaudio-equalizer-ladspa,audio tools
pamixer,audio tools
xf86-video-nouveau,gpu-utils
nvidia,gpu-utils
nvidia-utils,gpu-utils
nvidia-settings,gpu-utils
inetutils,network
networkmanager,network
networkmanager-openvpn,network
nethogs,network
nm-connection-editor,network
bluez,bluetooth
bluez-utils,bluetooth
blueman,bluetooth
pulseaudio-bluetooth,bluetooth
bmon,bluetooth mon
xorg-server,xorg-files
xorg-xbacklight,xorg-files
xorg-fonts-misc,xorg-files
xorg-xfd,xorg-files
xorg-xkill,xorg-files
xorg-xrandr,xorg-files
xorg-xrdb,xorg-files
xorg-xset,xorg-files
xorg-xev,xorg-files
xorg-xmodmap,xorg-files
xorg-xwininfo,xorg-files
xorg-xsetroot,xorg-files
xorg-xinput,input and touchpad
xf86-input-libinput,input and touchpad
virtualbox-guest-utils,vm utils
qemu-guest-agent,vm utils
open-vm-tools,vm utils
xf86-input-vmmouse,vm utils
xf86-video-vmware,vm utils
virtualbox-host-modules-arch,vm utils
cups,printer
gutenprint,printer
grub,grub
lsb-release,grub
os-prober,grub
reflector,mirrolist
baobab,disk utility
dialog,cli dialog generator tool
wget,get
curl,curl
sddm,display-manager
i3-gaps,wm
xfce4-power-manager,settings
xfce4-settings,settings
xsettingsd,settings
acpi,powermanager
dunst,notification
gpick,color picker
lxappearance,appreance manager
sxhkd,hotkey daemon
udisks2,disk management
xclip,clipboard manager
kvantum,theme engine
light,no ideafdf
polybar,menu bar
python-pywal,pywallll