PACKAGES,DESCRIPTION
arandr,Provide a simple visual front end for XRandR
bluez,daemons for the bluetooth protocol stack
bluez-utils,Development and debugging utilities for the bluetooth protocol stack
cmus,Feature rich ncurses based music player
dmenu,Generic menu for X
dosfstools,DOS filesystem utilities
exfat-utils,Utilities for exFAT file system
ffmpeg,Complete solution to record convert and stream audio and video
firefox,Standalone web browser from mozilla
git,the fast distributed version control system
highlight,highlight code
htop,system process browser
i3-wm,Improved dynamic tiling window manager
i3blocks,Define blocks for your i3bar status line
i3lock,Improved screenlocker based upon XCB and PAM
imagemagick,An image viewing or manipulation program
kitty,Terminal Emulator
maim,Utility to take a screenshot using imlib2
man-db,A utility for reading man pages
mesa,An open source implementation of the OpenGL specification
mpv,a free open source and cross platform media player
neovim,Fork of Vim aiming to improve user experience plugins and GUIs
noto-fonts,Google Noto TTF fonts
noto-fonts-cjk,Google Noto CJK fonts
noto-fonts-emoji,Google Noto Emoji fonts
noto-fonts-extra,Google Noto TTF fonts additional variants
ntfs-3g,NTFS filesystem driver and utilities
pulseaudio,A featureful general purpose sound server
pulseaudio-alsa,ALSA Configuration for PulseAudio
pulseaudio-bluetooth,Bluetooth support for PulseAudio
pulsemixer,CLI and curses mixer for pulseaudio
ranger,simple vim-like file manager
sxiv,Simple X Image Viewer
tlp,Linux Advanced Power Management
tldr,a collection of simplified and community-driven man page
ttf-jetbrains-mono,Typeface for developers by JetBrains
ttf-nerd-fonts-symbols,Nerd Font Symbols
unrar,archive and extract zip and extract rar
unzip,For extracting and viewing files in zip archives
xclip,Command line interface to the X11 clipboard
xdotool,Command line X11 automation tool
xf86-video-amdgpu,Xorg amdgpu video driver
xf86-video-intel,Xorg Intel video drivers 
xorg-server,Xorg X server
xorg-xbacklight,RandR-based backlight control application
xorg-xinit,Xorg initialisation program
xwallpaper,Wallpaper setting utility for X
yt-dlp,A youtubedl fork with additional features and fixes
zathura,Minimalistic document viewer
zathura-pdf-mupdf,PDF support for Zathura MuPDF backend support PDF ePub and OpenXPS
zip,Compressor archiver for creating and modifying zipfiles